seed,strategy,realised_value,regret_vs_oracle,regret_pct,spend_search,spend_email,spend_social,spend_display,spend_retargeting
251,causal,234.15099621579301,1.6966823445631292,0.7193975174654639,7,7,6,0.0,0.0
251,causal_lcb,234.15099621579301,1.6966823445631292,0.7193975174654639,7,7,6,0.0,0.0
251,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
251,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
252,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
252,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
252,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
252,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
252,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
253,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
253,causal,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
253,causal_lcb,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
253,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
253,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
254,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
254,causal,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
254,causal_lcb,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
254,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
254,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
255,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
255,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
255,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
255,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
255,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
256,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
256,causal,234.21985565950604,1.6278229008501057,0.6902009427383561,8,7,4,0.0,1.0
256,causal_lcb,234.21985565950604,1.6278229008501057,0.6902009427383561,8,7,4,0.0,1.0
256,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
256,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
257,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
257,causal,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
257,causal_lcb,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
257,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
257,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
258,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
258,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
258,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
258,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
258,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
259,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
259,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
259,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
259,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
259,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
260,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
260,causal,234.53782962843798,1.309848931918168,0.5553791921606566,7,5,6,0.0,2.0
260,causal_lcb,234.53782962843798,1.309848931918168,0.5553791921606566,7,5,6,0.0,2.0
260,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
260,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
261,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
261,causal,233.95510032902587,1.8925782313302761,0.8024578587683421,6,7,6,0.0,1.0
261,causal_lcb,233.95510032902587,1.8925782313302761,0.8024578587683421,6,7,6,0.0,1.0
261,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
261,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
262,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
262,causal,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
262,causal_lcb,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
262,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
262,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
263,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
263,causal,234.0153107999771,1.832367760379043,0.7769284699192487,6,6,6,0.0,2.0
263,causal_lcb,234.0153107999771,1.832367760379043,0.7769284699192487,6,6,6,0.0,2.0
263,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
263,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
264,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
264,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
264,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
264,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
264,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
265,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
265,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
265,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
265,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
265,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
266,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
266,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
266,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
266,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
266,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
267,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
267,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
267,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
267,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
267,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
268,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
268,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
268,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
268,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
268,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
269,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
269,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
269,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
269,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
